epoch,step,test/Multiclass_Accuracy,test/Multiclass_F1_Score,test/Multiclass_Jaccard_Index,test/Multiclass_Jaccard_Index_Micro,test/loss,test/multiclassaccuracy_Mining,test/multiclassaccuracy_Non_mining,test/multiclassjaccardindex_Mining,test/multiclassjaccardindex_Non_mining,train/Multiclass_Accuracy,train/Multiclass_F1_Score,train/Multiclass_Jaccard_Index,train/Multiclass_Jaccard_Index_Micro,train/loss,train/multiclassaccuracy_Mining,train/multiclassaccuracy_Non_mining,train/multiclassjaccardindex_Mining,train/multiclassjaccardindex_Non_mining,val/Multiclass_Accuracy,val/Multiclass_F1_Score,val/Multiclass_Jaccard_Index,val/Multiclass_Jaccard_Index_Micro,val/loss,val/multiclassaccuracy_Mining,val/multiclassaccuracy_Non_mining,val/multiclassjaccardindex_Mining,val/multiclassjaccardindex_Non_mining
8,115,,,,,,,,,,,,,,0.16154177486896515,,,,,,,,,,,,,
8,116,,,,,,,,,,,,,,0.09025613218545914,,,,,,,,,,,,,
8,116,,,,,,,,,,,,,,,,,,,0.9441950917243958,0.9441950917243958,0.7152587175369263,0.8942893743515015,0.20080143213272095,0.7223630547523499,0.9619402289390564,0.48947685956954956,0.9410405158996582
8,116,,,,,,,,,,0.9710435271263123,0.9710435271263123,0.7187815308570862,0.9437167644500732,,0.7046697735786438,0.9810035824775696,0.46727418899536133,0.970288872718811,,,,,,,,,
9,117,,,,,,,,,,,,,,0.12585727870464325,,,,,,,,,,,,,
9,118,,,,,,,,,,,,,,0.16583524644374847,,,,,,,,,,,,,
9,119,,,,,,,,,,,,,,0.15595050156116486,,,,,,,,,,,,,
9,120,,,,,,,,,,,,,,0.08368764817714691,,,,,,,,,,,,,
9,121,,,,,,,,,,,,,,0.14031681418418884,,,,,,,,,,,,,
9,122,,,,,,,,,,,,,,0.027689924463629723,,,,,,,,,,,,,
9,123,,,,,,,,,,,,,,0.22043025493621826,,,,,,,,,,,,,
9,124,,,,,,,,,,,,,,0.10908087342977524,,,,,,,,,,,,,
9,125,,,,,,,,,,,,,,0.14619292318820953,,,,,,,,,,,,,
9,126,,,,,,,,,,,,,,0.07129617035388947,,,,,,,,,,,,,
9,127,,,,,,,,,,,,,,0.17306460440158844,,,,,,,,,,,,,
9,128,,,,,,,,,,,,,,0.1169857606291771,,,,,,,,,,,,,
9,129,,,,,,,,,,,,,,0.1812008172273636,,,,,,,,,,,,,
9,129,,,,,,,,,,,,,,,,,,,0.9375234842300415,0.9375234842300415,0.7069759964942932,0.882394552230835,0.19520926475524902,0.779411792755127,0.9501714110374451,0.48025622963905334,0.9336957335472107
9,129,,,,,,,,,,0.9644270539283752,0.9644270539283752,0.7001810669898987,0.9312980771064758,,0.7658916115760803,0.971850574016571,0.43694496154785156,0.9634171724319458,,,,,,,,,
10,130,,,,,,,,,,,,,,0.07941796630620956,,,,,,,,,,,,,
10,131,,,,,,,,,,,,,,0.07162798941135406,,,,,,,,,,,,,
10,132,,,,,,,,,,,,,,0.08177538961172104,,,,,,,,,,,,,
10,133,,,,,,,,,,,,,,0.23419390618801117,,,,,,,,,,,,,
10,134,,,,,,,,,,,,,,0.12131587415933609,,,,,,,,,,,,,
10,135,,,,,,,,,,,,,,0.1407775729894638,,,,,,,,,,,,,
10,136,,,,,,,,,,,,,,0.17454330623149872,,,,,,,,,,,,,
10,137,,,,,,,,,,,,,,0.0907447412610054,,,,,,,,,,,,,
10,138,,,,,,,,,,,,,,0.16010232269763947,,,,,,,,,,,,,
10,139,,,,,,,,,,,,,,0.16252604126930237,,,,,,,,,,,,,
10,140,,,,,,,,,,,,,,0.07988741248846054,,,,,,,,,,,,,
10,141,,,,,,,,,,,,,,0.06237369403243065,,,,,,,,,,,,,
10,142,,,,,,,,,,,,,,0.13122420012950897,,,,,,,,,,,,,
10,142,,,,,,,,,,,,,,,,,,,0.9300771951675415,0.9300771951675415,0.6898455023765564,0.869293749332428,0.20618510246276855,0.7847363352775574,0.9417034983634949,0.45392879843711853,0.9257621765136719
10,142,,,,,,,,,,0.967737078666687,0.967737078666687,0.7129635214805603,0.9374908208847046,,0.7597368955612183,0.9755144715309143,0.45909833908081055,0.9668287038803101,,,,,,,,,
11,143,,,,,,,,,,,,,,0.18605515360832214,,,,,,,,,,,,,
11,144,,,,,,,,,,,,,,0.13929352164268494,,,,,,,,,,,,,
11,145,,,,,,,,,,,,,,0.07214133441448212,,,,,,,,,,,,,
11,146,,,,,,,,,,,,,,0.07402348518371582,,,,,,,,,,,,,
11,147,,,,,,,,,,,,,,0.0592222660779953,,,,,,,,,,,,,
11,148,,,,,,,,,,,,,,0.06367195397615433,,,,,,,,,,,,,
11,149,,,,,,,,,,,,,,0.21757745742797852,,,,,,,,,,,,,
11,150,,,,,,,,,,,,,,0.12605245411396027,,,,,,,,,,,,,
11,151,,,,,,,,,,,,,,0.20867271721363068,,,,,,,,,,,,,
11,152,,,,,,,,,,,,,,0.03159439563751221,,,,,,,,,,,,,
11,153,,,,,,,,,,,,,,0.17562201619148254,,,,,,,,,,,,,
11,154,,,,,,,,,,,,,,0.15259763598442078,,,,,,,,,,,,,
11,155,,,,,,,,,,,,,,0.08106163144111633,,,,,,,,,,,,,
11,155,,,,,,,,,,,,,,,,,,,0.940415620803833,0.940415620803833,0.7048022150993347,0.8875325322151184,0.20505176484584808,0.7207149863243103,0.9579902291297913,0.4725489318370819,0.9370554685592651
11,155,,,,,,,,,,0.9724661111831665,0.9724661111831665,0.7308971881866455,0.9464077949523926,,0.7341734766960144,0.9813761711120605,0.4900767207145691,0.9717177152633667,,,,,,,,,
12,156,,,,,,,,,,,,,,0.11323518306016922,,,,,,,,,,,,,
12,157,,,,,,,,,,,,,,0.2543822228908539,,,,,,,,,,,,,
12,158,,,,,,,,,,,,,,0.08434177935123444,,,,,,,,,,,,,
12,159,,,,,,,,,,,,,,0.10734622925519943,,,,,,,,,,,,,
12,160,,,,,,,,,,,,,,0.14565971493721008,,,,,,,,,,,,,
12,161,,,,,,,,,,,,,,0.08905273675918579,,,,,,,,,,,,,
12,162,,,,,,,,,,,,,,0.09623681753873825,,,,,,,,,,,,,
12,163,,,,,,,,,,,,,,0.07915865629911423,,,,,,,,,,,,,
12,164,,,,,,,,,,,,,,0.17151638865470886,,,,,,,,,,,,,
12,165,,,,,,,,,,,,,,0.12587760388851166,,,,,,,,,,,,,
12,166,,,,,,,,,,,,,,0.11528423428535461,,,,,,,,,,,,,
12,167,,,,,,,,,,,,,,0.07064783573150635,,,,,,,,,,,,,
12,168,,,,,,,,,,,,,,0.15346911549568176,,,,,,,,,,,,,
12,168,,,,,,,,,,,,,,,,,,,0.939453125,0.939453125,0.7023085951805115,0.8858194947242737,0.21200110018253326,0.7207784056663513,0.9569456577301025,0.4685787260532379,0.9360384345054626
12,168,,,,,,,,,,0.9663485288619995,0.9663485288619995,0.7089986205101013,0.9348881244659424,,0.7719812393188477,0.9736161231994629,0.45261189341545105,0.965385377407074,,,,,,,,,
13,169,,,,,,,,,,,,,,0.05637539178133011,,,,,,,,,,,,,
13,170,,,,,,,,,,,,,,0.20017442107200623,,,,,,,,,,,,,
13,171,,,,,,,,,,,,,,0.06866027414798737,,,,,,,,,,,,,
13,172,,,,,,,,,,,,,,0.11311215907335281,,,,,,,,,,,,,
13,173,,,,,,,,,,,,,,0.2440071552991867,,,,,,,,,,,,,
13,174,,,,,,,,,,,,,,0.10443980246782303,,,,,,,,,,,,,
13,175,,,,,,,,,,,,,,0.20268404483795166,,,,,,,,,,,,,
13,176,,,,,,,,,,,,,,0.14012649655342102,,,,,,,,,,,,,
13,177,,,,,,,,,,,,,,0.13531607389450073,,,,,,,,,,,,,
13,178,,,,,,,,,,,,,,0.10983633249998093,,,,,,,,,,,,,
13,179,,,,,,,,,,,,,,0.16799093782901764,,,,,,,,,,,,,
13,180,,,,,,,,,,,,,,0.030848510563373566,,,,,,,,,,,,,
13,181,,,,,,,,,,,,,,0.12474171817302704,,,,,,,,,,,,,
13,181,,,,,,,,,,,,,,,,,,,0.9476553201675415,0.9476553201675415,0.715527355670929,0.900518000125885,0.2032279074192047,0.6685471534729004,0.9699821472167969,0.48612648248672485,0.9449282288551331
13,181,,,,,,,,,,0.969690203666687,0.969690203666687,0.7129758596420288,0.9411636590957642,,0.7078937292098999,0.9794790744781494,0.45705515146255493,0.9688965678215027,,,,,,,,,
14,182,,,,,,,,,,,,,,0.07354315370321274,,,,,,,,,,,,,
14,183,,,,,,,,,,,,,,0.06519521027803421,,,,,,,,,,,,,
14,184,,,,,,,,,,,,,,0.09183891862630844,,,,,,,,,,,,,
14,185,,,,,,,,,,,,,,0.1801024079322815,,,,,,,,,,,,,
14,186,,,,,,,,,,,,,,0.1143995076417923,,,,,,,,,,,,,
14,187,,,,,,,,,,,,,,0.28316593170166016,,,,,,,,,,,,,
14,188,,,,,,,,,,,,,,0.16478019952774048,,,,,,,,,,,,,
14,189,,,,,,,,,,,,,,0.10575088113546371,,,,,,,,,,,,,
14,190,,,,,,,,,,,,,,0.15646114945411682,,,,,,,,,,,,,
14,191,,,,,,,,,,,,,,0.1806943714618683,,,,,,,,,,,,,
14,192,,,,,,,,,,,,,,0.12967737019062042,,,,,,,,,,,,,
14,193,,,,,,,,,,,,,,0.07997775822877884,,,,,,,,,,,,,
14,194,,,,,,,,,,,,,,0.13298466801643372,,,,,,,,,,,,,
14,194,,,,,,,,,,,,,,,,,,,0.9264150857925415,0.9264150857925415,0.678779125213623,0.8629173636436462,0.22390355169773102,0.7666708827018738,0.9391935467720032,0.4355733096599579,0.9219849109649658
14,194,,,,,,,,,,0.969140887260437,0.969140887260437,0.7138216495513916,0.940129280090332,,0.7273674607276917,0.9781810641288757,0.45933330059051514,0.9683100581169128,,,,,,,,,
15,195,,,,,,,,,,,,,,0.12728026509284973,,,,,,,,,,,,,
15,196,,,,,,,,,,,,,,0.0972442552447319,,,,,,,,,,,,,
15,197,,,,,,,,,,,,,,0.1717955768108368,,,,,,,,,,,,,
15,198,,,,,,,,,,,,,,0.10435054451227188,,,,,,,,,,,,,
15,199,,,,,,,,,,,,,,0.049468763172626495,,,,,,,,,,,,,
15,200,,,,,,,,,,,,,,0.5436411499977112,,,,,,,,,,,,,
15,201,,,,,,,,,,,,,,0.13605822622776031,,,,,,,,,,,,,
15,202,,,,,,,,,,,,,,0.05993589758872986,,,,,,,,,,,,,
15,203,,,,,,,,,,,,,,0.17878377437591553,,,,,,,,,,,,,
15,204,,,,,,,,,,,,,,0.08756765723228455,,,,,,,,,,,,,
15,205,,,,,,,,,,,,,,0.10217231512069702,,,,,,,,,,,,,
15,206,,,,,,,,,,,,,,0.1873505711555481,,,,,,,,,,,,,
15,207,,,,,,,,,,,,,,0.09577876329421997,,,,,,,,,,,,,
15,207,,,,,,,,,,,,,,,,,,,0.9413264393806458,0.9413264393806458,0.7091145515441895,0.8891564607620239,0.20703047513961792,0.7319979667663574,0.9580713510513306,0.48026615381240845,0.9379628896713257
15,207,,,,,,,,,,0.9665457010269165,0.9665457010269165,0.7016245126724243,0.9352573156356812,,0.7221896648406982,0.9756824970245361,0.4375974237918854,0.9656515717506409,,,,,,,,,
16,208,,,,,,,,,,,,,,0.16796113550662994,,,,,,,,,,,,,
16,209,,,,,,,,,,,,,,0.21404027938842773,,,,,,,,,,,,,
16,210,,,,,,,,,,,,,,0.04482169821858406,,,,,,,,,,,,,
16,211,,,,,,,,,,,,,,0.1865515559911728,,,,,,,,,,,,,
16,212,,,,,,,,,,,,,,0.1469247043132782,,,,,,,,,,,,,
16,213,,,,,,,,,,,,,,0.06901460886001587,,,,,,,,,,,,,
16,214,,,,,,,,,,,,,,0.1371331512928009,,,,,,,,,,,,,
16,215,,,,,,,,,,,,,,0.10734192281961441,,,,,,,,,,,,,
16,216,,,,,,,,,,,,,,0.10976295918226242,,,,,,,,,,,,,
16,217,,,,,,,,,,,,,,0.1298953741788864,,,,,,,,,,,,,
16,218,,,,,,,,,,,,,,0.1321197897195816,,,,,,,,,,,,,
16,219,,,,,,,,,,,,,,0.08646043390035629,,,,,,,,,,,,,
16,220,,,,,,,,,,,,,,0.06330384314060211,,,,,,,,,,,,,
16,220,,,,,,,,,,,,,,,,,,,0.9432373046875,0.9432373046875,0.715152382850647,0.8925724625587463,0.20415672659873962,0.7373225092887878,0.9597091674804688,0.4903465211391449,0.9399582743644714
